dansodudieukientiemchung,dukien_vacxinphanbo,phanbo_thucte,solieudatiemchung,tinh_thanhpho,tyledatiemchung,tyledatiemchung_trenvacxinphanbothucte,tyledatiemitnhatmotmui,tyledukiensetiemchung,tylephanbovacxin_trenvacxinphanbocanuoc
"6,200,000","11,376,541","10,829,032","10,160,725",Hà Nội ,87.33 %,93.83 %,163.88 %,91.75 %,10.75 %
"7,208,800","13,794,299","15,064,774","13,559,032",Hồ Chí Minh ,104.49 %,90 %,188.09 %,95.68 %,14.96 %
"2,605,729","4,794,541","1,463,780","1,335,971",Thanh Hóa ,28.09 %,91.27 %,51.27 %,92 %,1.45 %
"2,446,902","4,267,816","1,702,300","1,220,022",Nghệ An ,34.78 %,71.67 %,49.86 %,87.21 %,1.69 %
"2,384,309","4,256,053","4,555,160","4,277,811",Đồng Nai ,95.52 %,93.91 %,179.42 %,89.25 %,4.52 %
"2,381,252","3,550,283","5,385,160","3,976,712",Bình Dương ,113.07 %,73.85 %,167 %,74.55 %,5.35 %
"1,457,127","2,606,158","2,272,220","1,462,998",An Giang ,77.97 %,64.39 %,100.4 %,89.43 %,2.26 %
"1,367,571","2,598,385","1,252,260","1,315,751",Hải Dương ,45.78 %,105.07 %,96.21 %,95 %,1.24 %
"1,362,176","2,317,760","1,186,160","1,012,822",Đắk Lắk ,43.54 %,85.39 %,74.35 %,85.08 %,1.18 %
"1,373,070","2,526,449","762,220","816,396",Thái Bình ,27.76 %,107.11 %,59.46 %,92 %,0.76 %
"1,580,000","2,857,279","1,927,800","1,293,185",Hải Phòng ,61.01 %,67.08 %,81.85 %,90.42 %,1.91 %
"1,267,538","2,408,322","1,351,570","1,328,809",Bắc Giang ,53.31 %,98.32 %,104.83 %,95 %,1.34 %
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
